,administrative_area_level_1,country,administrative_area_level_2
0,Newfoundland and Labrador,Canada,
0,Newfoundland and Labrador,Canada,
0,Newfoundland and Labrador,Canada,
0,Newfoundland and Labrador,Canada,
0,Alberta,Canada,
0,Alberta,Canada,Bonnyville No. 87
0,Alberta,Canada,Jasper
0,Alberta,Canada,Kananaskis
0,Alberta,Canada,Improvement District No. 9
0,Alberta,Canada,
0,Alberta,Canada,Strathcona County
0,Alberta,Canada,Yellowhead County
0,Alberta,Canada,Kananaskis
0,Alberta,Canada,Cypress County
0,Alberta,Canada,Improvement District No. 9
0,Alberta,Canada,Municipal District of Greenview No. 16
0,Alberta,Canada,Pincher Creek No. 9
0,Alberta,Canada,Red Deer County
0,Alberta,Canada,
0,Alberta,Canada,
0,Alberta,Canada,Improvement District No. 9
0,Saskatchewan,Canada,Nipawin No. 487
0,Saskatchewan,Canada,Battle River No. 438
0,Saskatchewan,Canada,
0,Saskatchewan,Canada,Mountain View No. 318
0,Prince Edward Island,Canada,
0,British Columbia,Canada,Squamish-Lillooet
0,British Columbia,Canada,Comox Valley
0,British Columbia,Canada,East Kootenay
0,British Columbia,Canada,Bulkley-Nechako
0,British Columbia,Canada,Columbia-Shuswap
0,British Columbia,Canada,Central Kootenay
0,British Columbia,Canada,Fraser-Fort George
0,British Columbia,Canada,Central Kootenay
0,British Columbia,Canada,Thompson-Nicola
0,British Columbia,Canada,Kootenay Boundary
0,British Columbia,Canada,Bulkley-Nechako
0,British Columbia,Canada,East Kootenay
0,British Columbia,Canada,Columbia-Shuswap
0,British Columbia,Canada,Kootenay Boundary
0,British Columbia,Canada,Fraser Valley
0,British Columbia,Canada,Metro Vancouver
0,British Columbia,Canada,North Okanagan
0,British Columbia,Canada,Fraser-Fort George
0,British Columbia,Canada,East Kootenay
0,British Columbia,Canada,East Kootenay
0,British Columbia,Canada,Fraser-Fort George
0,British Columbia,Canada,Okanagan-Similkameen
0,British Columbia,Canada,Metro Vancouver
0,British Columbia,Canada,Kootenay Boundary
0,British Columbia,Canada,Central Okanagan
0,British Columbia,Canada,Thompson-Nicola
0,British Columbia,Canada,Mount Waddington
0,British Columbia,Canada,Kitimat-Stikine
0,British Columbia,Canada,Fraser Valley
0,British Columbia,Canada,Kootenay Boundary
0,British Columbia,Canada,Metro Vancouver
0,British Columbia,Canada,Central Kootenay
0,Manitoba,Canada,
0,Manitoba,Canada,Shellmouth-Boulton
0,Manitoba,Canada,Pembina
0,Manitoba,Canada,Rockwood
0,Manitoba,Canada,Mystery Lake
0,New Brunswick,Canada,Kings County
0,New Brunswick,Canada,York County
0,New Brunswick,Canada,Madawaska County
0,New Brunswick,Canada,Restigouche County
0,Nova Scotia,Canada,West Hants
0,Nova Scotia,Canada,Victoria County
0,Nova Scotia,Canada,Cumberland County
0,Nova Scotia,Canada,Cape Breton Regional Municipality
0,Quebec,Canada,Laurentides
