name,officialWebsite,latitude,longitude
Smokey Mountain Ski Club,http://www.skismokey.ca/,52.977947,-66.92094
Northern Lights Ski Club,https://www.facebook.com/northern.lights.ski.club/,53.52358,-64.020094
White Hills,http://www.whitehillsresort.com/,48.161777,-54.046468
Marble Mountain,http://www.skimarble.com/,48.936666666667,-57.827222222222
Snow Valley Ski Club,http://www.snowvalley.ca,53.4842024615732,-113.556683063507
Kinosoo Ridge,http://www.kinosoo.ca/,54.4400994648045,-110.019149780273
Marmot Basin,http://www.skimarmot.com,52.798588378277,-118.10078236972
Nakiska Ski Resort,http://www.skinakiska.com,50.947773770583,-115.17152563367
Banff Sunshine (Formerly Sunshine Village),http://skibanff.com,51.08611777439,-115.77390455793
Rabbit Hill Ski and Snowboard Center,http://www.rabbithill.com,53.3811269497706,-113.672018051147
Sunridge Ski Area,http://www.sunridgeskiarea.com,53.5645280712511,-113.372468948364
Silver Summit,http://www.silversummit.ca,53.893212181825,-116.567859649658
Fortress (Snowridge),http://www.skifortress.com/,50.8245355553757,-115.199031829834
Hidden Valley,http://www.skihiddenvalley.net,49.6565718402243,-110.260848999023
Mount Norquay,http://www.banffnorquay.com/,51.206218724672,-115.6053711919
Nitehawk Ski Hill,http://gonitehawk.com/,55.0607855921448,-118.859689235687
Castle Mountain Resort,http://www.skicastle.ca,49.315355179835,-114.42647097722
Canyon Ski Resort (Ski Red Deer),http://www.canyonski.net,52.3047000653693,-113.682832717896
Edmonton Ski Club,http://www.edmontonskiclub.com,53.533611111111,-113.47527777778
WinSport (Canada Olympic Park),http://www.winsportcanada.ca/cop/,51.079722222222,-114.21583333333
Lake Louise,http://www.skilouise.com/,51.448275777989,-116.12743053131
Wapiti Valley,http://www.skiwapitivalley.com/,53.2352219916111,-104.460926055908
Table Mountain,http://www.tablemountainregionalpark.com/,52.8154206989343,-108.605346679688
Mission Ridge Winter Park,http://missionridge.ca/,50.754486318336,-103.778743743896
Prairie West Terminal Snow Park (Twin Towers),http://www.skicanada.org/skiarea/default.cfm?dsp=SkiAreaDsp&Act=Details&ResortUID=70DD7ED6-49B0-4AB1-B5CA1E425CB6D314&#Details,51.677105941083,-108.49451780319
Brookvale Provincial Park,http://www.tourismpei.com/brookvale-activity-park,46.282508,-63.410265
Whistler Blackcomb (Garibaldi Lift Co.),http://www.whistlerblackcomb.com,50.11308267731076,-122.95376412570478
Mount Washington Alpine Resort,http://www.mountwashington.ca,49.747385876698,-125.29947329937
Fernie Alpine Resort,http://www.skifernie.com,49.457354130236,-115.10197947689
Murray Ridge,http://www.murrayridge.com/,54.5187898757911,-124.20970916748
Revelstoke Mountain Resort (Powder Springs),http://www.revelstokemountainresort.com,50.961585282842,-118.1256089504
Salmo Ski Area,http://www.skisalmo.com,49.186303725305,-117.300510406494
Tabor Mountain,http://www.tabormountain.com,53.9439629965073,-122.454299926758
Summit Lake,http://www.skisummitlake.com,50.1460238220552,-117.615144252777
Sun Peaks Resort,http://www.sunpeaksresort.com/,50.88509127048632,-119.88597127442017
Mt. Baldy Family Ski Area,http://www.skibaldy.com,49.1529696561704,-119.235305786133
Hudson Bay Mountain (Ski Smithers),http://www.hudsonbaymountain.com/homepage,54.77128618359,-127.26184844971
Kimberley Alpine Resort,http://www.skikimberley.com,49.6870669231854,-116.009616851807
Kicking Horse (Whitetooth),http://www.kickinghorseresort.com,51.286431076078,-117.06663856128
Red Mountain Resort,http://www.redresort.com,49.101448269987,-117.84124279161
Manning Park Resort,http://www.manningpark.com,49.068018007324,-120.91604232788
Mount Seymour,http://www.mountseymour.com,49.371703383095,-122.94473140066
Silver Star Mountain Resort,http://www.skisilverstar.com,50.374526005244,-119.04756419693
Powder King,http://www.powderking.com,55.3639906650811,-122.610855102539
Panorama Mountain Village,http://www.panoramaresort.com,50.44599754538288,-116.23748959530113
Fairmont Hot Springs Resort,http://www.fairmonthotsprings.com,50.3385584502358,-115.826282501221
Purden Ski Village,http://www.purden.com,53.9003938315946,-121.884727478027
Apex Mountain Resort,http://www.apexresort.com,49.3910328728792,-119.904356002808
Cypress Mountain,http://www.cypressmountain.com,49.396419028281,-123.20170631617
Phoenix Mountain,http://www.skiphoenix.com,49.1090511842822,-118.586254119873
Crystal Mountain Resort,http://www.crystalresort.com,49.88202623627,-119.711666107178
Harper Mountain,http://www.harpermountain.com,50.7230902042327,-120.139789581299
Mt. Cain,http://www.mountcain.com,50.2189847821671,-126.353073120117
Shames Mountain,http://www.shamesmountain.com,54.4849984772733,-128.95357131958
Sasquatch Mountain (Hemlock Resort),http://www.hemlockvalleyresort.com,49.379411246141,-121.93450927734
Big White Ski Resort,http://www.bigwhite.com/,49.732351673427,-118.94174923584
Grouse Mountain,http://www.grousemountain.com,49.380025920244,-123.08103561401
Whitewater Ski Resort,http://www.skiwhitewater.com/,49.441209640663,-117.15488533447
Falcon Ridge,http://www.falcontrails.mb.ca,49.704275,-95.191471
Asessippi Ski Area and Resort,http://www.asessippi.com/,50.951308,-101.338217
Holiday Mountain,http://www.holidaymountain.com,49.236784,-98.693941
Stony Mountain Ski Area,http://www.skistony.com/,50.094095,-97.20651
Mystery Mountain,http://www.mysterymountain.ca/,55.868826,-97.776935
Poley Mountain,http://www.poleymountain.com,45.679269,-65.382583
Crabbe Mountain,http://www.crabbemountain.com/,46.120263,-67.106976
Mont Farlagne,http://www.montfarlagne.com/fr/index.php,47.413712,-68.38185
Sugarloaf Provincial Park,http://parcsugarloafpark.ca/,47.982235,-66.694703
Ski Martock,http://www.martock.com/,44.932527777778,-64.165194444444
Cape Smokey,https://capesmokey.ca/,46.6268063953552,-60.4230880737305
Ski Wentworth,http://www.skiwentworth.ca/,45.608514,-63.562141
Ski Ben Eoin,http://www.skibeneoin.com/,45.974687,-60.434941
Sommet Olympia,https://www.sommets.com/fr/montagne-de-ski/sommet-olympia/,45.914735,-74.124605
Gray Rocks,http://www.grayrocks.com,46.163405,-74.588629
Mont Orignal,http://www.montorignal.com,46.409119,-70.585196
Mont Shefford,http://www.montshefford.com,45.3786786363231,-72.6091575622559
Sommet Morin Heights,http://www.skimorinheights.com/,45.89874,-74.268427
Le Relais,http://www.skirelais.com,46.936944444444,-71.2975
Ski Bromont,http://www.skibromont.com,45.299681,-72.636284
Mont Ti-Basse,http://www.ville.baie-comeau.qc.ca/en/living/leisure/activities/ski/,49.2893623841344,-68.1672477722168
Owl's Head,http://www.owlshead.com,45.075142,-72.295041
Montjoye (Mont Hatley),https://monthatley.com/accueil/activites-hivernales/,45.302529,-71.932362
