,actonId,beginDate,countyName,elevation,endDate,fipsCountryCd,fipsCountyCd,fipsStateNumber,huc,hud,latitude,longitude,name,shefId,stationDataTimeZone,stationTriplet
0,SC2057,2002-02-23 00:00:00,Madison,860.00,2100-01-01 00:00:00,US,089,01,060300020403,06030002,34.78333,-86.55000,AAMU-JTG,AAMA1,-6.0,2057:AL:SCAN
0,,1963-02-01 00:00:00,Plumas,5650.00,2100-01-01 00:00:00,US,063,06,180201220103,,39.95500,-120.53800,Abbey,,,ABY:CA:SNOW
0,,1994-02-01 00:00:00,Lincoln,4440.00,2008-03-01 00:00:00,US,053,30,170101030505,17010103,48.66667,-115.91667,Abe Lincoln,,,15A21:MT:SNOW
0,,1914-01-01 00:00:00,Bingham,4410.00,2100-01-01 00:00:00,US,011,16,170402060704,17040206,42.95000,-112.83333,Aberdeen Experimnt Stn,ABDI1,,0010:ID:COOP
0,,1939-04-01 00:00:00,UNKNOWN,4298.00,2100-01-01 00:00:00,CA,999,96,,17110001,50.14733,-119.05340,Aberdeen Lake,ABLQ2,,1F01A:BC:SNOW
0,,1957-01-01 00:00:00,Rio Arriba,6380.00,2100-01-01 00:00:00,US,039,35,130201021005,13020102,36.23333,-106.43333,Abiquiu Dam,ABIN5,,0041:NM:COOP
0,,1964-09-01 00:00:00,Rio Arriba,6180.00,2100-01-01 00:00:00,US,039,35,130201021006,13020102,36.23700,-106.42912,Abiquiu Reservoir,,,08108010:NM:BOR
0,,1928-03-01 00:00:00,Shoshone,4100.00,1991-12-31 00:00:00,US,079,16,170103020102,17010302,47.53333,-115.78333,Above Burke Disc,,,15B08:ID:SNOW
0,,1961-01-01 00:00:00,Lemhi,8289.00,2100-01-01 00:00:00,US,059,16,170602040101,17060204,44.45615,-113.30097,Above Gilmore,ABGI1,,13E19:ID:SNOW
0,,1926-03-01 00:00:00,Shoshone,4347.00,2100-01-01 00:00:00,US,079,16,170103040201,17010302,47.38507,-115.66405,Above Roland,ABRI1,,15B07:ID:SNOW
0,SC2092,2004-06-21 00:00:00,Cowley,1194.00,2100-01-01 00:00:00,US,035,20,110300130307,11030013,37.13130,-97.08590,Abrams,ABRK1,-6.0,2092:KS:SCAN
0,,1961-04-01 00:00:00,Beaverhead,8800.00,2013-10-01 00:00:00,US,001,30,100200041103,10020004,45.58557,-113.00555,Abundance Lake,ABDM8,,13D20:MT:SNOW
0,,1938-06-01 00:00:00,Judith Basin,4300.00,2100-01-01 00:00:00,US,045,30,100401030202,10040103,46.95741,-109.94062,Ackley Lake,,,06110500:MT:BOR
0,SC2015,1993-10-25 00:00:00,Lincoln,6175.00,2100-01-01 00:00:00,US,027,35,130600060201,13060006,34.25000,-105.41667,Adams Ranch #1,ADRN5,-7.0,2015:NM:SCAN
0,,1900-01-01 00:00:00,UNKNOWN,5804.00,2017-10-01 00:00:00,US,999,96,,,51.58333,-119.41667,Adams River,,,1E07:BC:SNOW
